what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1493722013683
closed,view,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.internal.introview",1493722013750
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1493722020865
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1493722052217
started,bundle,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui",1493722052656
started,bundle,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.ui",1493722052660
started,bundle,org.eclipse.wst.html.core,1.1.400.v201005261534,"org.eclipse.wst.html.core",1493722052805
started,bundle,org.eclipse.wst.xml.core,1.1.500.v201005271618,"org.eclipse.wst.xml.core",1493722052824
started,bundle,org.eclipse.wst.css.core,1.1.400.v201005261534,"org.eclipse.wst.css.core",1493722053592
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1493722053604
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.300.v201006030742,"org.eclipse.wst.jsdt.web.ui",1493722053690
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.300.v201004150625,"org.eclipse.wst.jsdt.web.core",1493722053733
started,bundle,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.ui",1493722054660
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1493722055850
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1493722055967
started,bundle,org.eclipse.emf.common,2.6.0.v20100614-1136,"org.eclipse.emf.common",1493722056017
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1493722056112
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1493722056292
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1493722056743
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.edit.text.openLocalFile",1493722056866
started,bundle,org.eclipse.wst.validation,1.2.200.v201005271900,"org.eclipse.wst.validation",1493722057547
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1493722057648
started,bundle,org.eclipse.emf.ecore,2.6.0.v20100614-1136,"org.eclipse.emf.ecore",1493722057708
started,bundle,org.eclipse.wst.common.emf,1.2.0.v201005200700,"org.eclipse.wst.common.emf",1493722057728
started,bundle,org.eclipse.jem.util,2.1.0.v201005130500,"org.eclipse.jem.util",1493722057762
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v20100521-1846,"org.eclipse.emf.ecore.xmi",1493722057777
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.0.v201004110600,"org.eclipse.wst.common.emfworkbench.integration",1493722057781
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.100.v201005190114,"org.eclipse.wst.common.project.facet.core",1493722057785
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1493722057947
started,bundle,org.eclipse.wst.common.modulecore,1.2.0.v201005200200,"org.eclipse.wst.common.modulecore",1493722057956
started,bundle,org.eclipse.wst.xsl.core,1.1.0.v201004290328,"org.eclipse.wst.xsl.core",1493722057971
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1493722057978
started,bundle,org.eclipse.wst.dtd.core,1.1.400.v201004290328,"org.eclipse.wst.dtd.core",1493722058275
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1493722058717
opened,view,org.eclipse.dltk.ui,2.0.0.v20100603-0936,"org.eclipse.dltk.ui.TypeHierarchy",1493722059676
activated,view,org.eclipse.dltk.ui,2.0.0.v20100603-0936,"org.eclipse.dltk.ui.TypeHierarchy",1493722059753
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1493722062121
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.100.v201004290328,"org.eclipse.wst.xsl.debug.ui",1493722063888
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1493722070604
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1493722072640
started,bundle,org.eclipse.wst.server.core,1.1.202.v20100518,"org.eclipse.wst.server.core",1493722075189
started,bundle,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui",1493722075237
started,bundle,org.eclipse.jdt.core,3.6.0.v_A58,"org.eclipse.jdt.core",1493722075626
started,bundle,org.eclipse.jdt.debug,3.6.0.v20100526,"org.eclipse.jdt.debug",1493722075699
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100526,"org.eclipse.jdt.launching",1493722075752
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1493722076110
started,bundle,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui",1493722076138
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1493722076204
started,bundle,org.eclipse.php.server.ui,2.2.0.v20100616-1900,"org.eclipse.php.server.ui",1493722076269
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1493722076509
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1493722078174
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1493722109999
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1493722110296
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1493722110425
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.edit.text.openLocalFile",1493722110430
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1493722113541
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1493722121083
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1493722154260
executed,command,,,"AUTOGEN:::org.eclipse.php.editor.ruler.actions/org.eclipse.php.internal.ui.editor.PhpSelectRulerAction",1493722190637
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1493722200069
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1493723202942
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1493723206395
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1493723206650
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1493723206934
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1493723207203
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1493723207470
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1493723207740
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1493723207994
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1493723208307
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1493723215605
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1493723757618
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1493723758255
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1493723889809
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1493723892671
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1493723894609
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1493723901547
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1493723903628
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1493723904875
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1493723941617
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1493723952136
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1493723956660
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1493723959345
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1493723968022
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1493723970270
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1493723972334
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1493723972810
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1493723976689
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1493723982164
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1493723993029
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1493724035493
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1493724037173
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1493724215271
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1493724216532
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1493724216983
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1493724218568
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1493724263463
